table[3964]: Key: dry, Frequency: 9, Probe Count: 0
table[4009]: Key: pull, Frequency: 1, Probe Count: 0
table[4037]: Key: due, Frequency: 7, Probe Count: 0
table[4046]: Key: dun, Frequency: 1, Probe Count: 0
table[4067]: Key: game, Frequency: 12, Probe Count: 0
table[4092]: Key: disdains, Frequency: 1, Probe Count: 0
table[4102]: Key: sternly, Frequency: 1, Probe Count: 0
table[4115]: Key: various, Frequency: 1, Probe Count: 0
table[4125]: Key: wasting, Frequency: 2, Probe Count: 0
table[4136]: Key: gaol, Frequency: 1, Probe Count: 0
table[4153]: Key: reviewest, Frequency: 1, Probe Count: 0
table[4161]: Key: dye, Frequency: 1, Probe Count: 0
table[4188]: Key: pure, Frequency: 2, Probe Count: 0
table[4210]: Key: tumbled, Frequency: 1, Probe Count: 0
table[4219]: Key: attended, Frequency: 1, Probe Count: 0
table[4222]: Key: push, Frequency: 1, Probe Count: 0
table[4233]: Key: puss, Frequency: 1, Probe Count: 0
table[4250]: Key: wrackful, Frequency: 1, Probe Count: 0
table[4264]: Key: puts, Frequency: 1, Probe Count: 0
table[4284]: Key: gate, Frequency: 1, Probe Count: 0
table[4304]: Key: fruit, Frequency: 1, Probe Count: 0
table[4317]: Key: normans, Frequency: 1, Probe Count: 0
table[4322]: Key: moan, Frequency: 5, Probe Count: 0
table[4337]: Key: friendship, Frequency: 1, Probe Count: 0
table[4339]: Key: saucepans, Frequency: 1, Probe Count: 0
table[4346]: Key: gave, Frequency: 20, Probe Count: 0
table[4353]: Key: copyright, Frequency: 2, Probe Count: 0
table[4381]: Key: mock, Frequency: 59, Probe Count: 0
table[4391]: Key: ear, Frequency: 9, Probe Count: 0
table[4393]: Key: eat, Frequency: 21, Probe Count: 0
table[4443]: Key: muttering, Frequency: 3, Probe Count: 0
table[4470]: Key: gaze, Frequency: 2, Probe Count: 0
table[4487]: Key: knuckles, Frequency: 1, Probe Count: 0
table[4489]: Key: amends, Frequency: 1, Probe Count: 0
table[4509]: Key: eel, Frequency: 2, Probe Count: 0
table[4566]: Key: egg, Frequency: 1, Probe Count: 0
table[4624]: Key: pennyworth, Frequency: 1, Probe Count: 0
table[4654]: Key: ornament, Frequency: 5, Probe Count: 0
table[4661]: Key: settled, Frequency: 4, Probe Count: 0
table[4662]: Key: keeps, Frequency: 5, Probe Count: 0
table[4665]: Key: quarrelled, Frequency: 1, Probe Count: 0
table[4671]: Key: express, Frequency: 2, Probe Count: 0
table[4672]: Key: vassal, Frequency: 2, Probe Count: 0
table[4688]: Key: inhearse, Frequency: 1, Probe Count: 0
table[4708]: Key: asked, Frequency: 18, Probe Count: 0
table[4709]: Key: paint, Frequency: 1, Probe Count: 0
table[4711]: Key: crests, Frequency: 1, Probe Count: 0
table[4722]: Key: secure, Frequency: 1, Probe Count: 0
table[4748]: Key: sweets, Frequency: 6, Probe Count: 0
table[4756]: Key: moon, Frequency: 4, Probe Count: 0
table[4776]: Key: difference, Frequency: 1, Probe Count: 0
table[4780]: Key: end, Frequency: 30, Probe Count: 0
table[4791]: Key: featureless, Frequency: 1, Probe Count: 0
table[4806]: Key: evening, Frequency: 5, Probe Count: 0
table[4832]: Key: pairs, Frequency: 1, Probe Count: 0
table[4837]: Key: afore, Frequency: 1, Probe Count: 0
table[4840]: Key: more, Frequency: 117, Probe Count: 0
table[4849]: Key: morn, Frequency: 2, Probe Count: 0
table[4858]: Key: confess, Frequency: 1, Probe Count: 0
table[4886]: Key: most, Frequency: 38, Probe Count: 0
table[4887]: Key: salutation, Frequency: 1, Probe Count: 0
table[4905]: Key: ere, Frequency: 7, Probe Count: 0
table[4912]: Key: purring, Frequency: 2, Probe Count: 0
table[4918]: Key: err, Frequency: 1, Probe Count: 0
table[4935]: Key: station, Frequency: 1, Probe Count: 0
table[4940]: Key: enjoy, Frequency: 3, Probe Count: 0
table[4948]: Key: esq, Frequency: 1, Probe Count: 0
table[4951]: Key: est, Frequency: 1, Probe Count: 0
table[4952]: Key: legged, Frequency: 2, Probe Count: 0
table[4964]: Key: move, Frequency: 5, Probe Count: 0
table[4965]: Key: etc, Frequency: 1, Probe Count: 0
table[5015]: Key: dwells, Frequency: 1, Probe Count: 0
table[5048]: Key: fools, Frequency: 1, Probe Count: 0
table[5071]: Key: mabel, Frequency: 4, Probe Count: 0
table[5096]: Key: anything, Frequency: 21, Probe Count: 0
table[5101]: Key: justice, Frequency: 1, Probe Count: 1
table[5103]: Key: annexed, Frequency: 1, Probe Count: 0
table[5122]: Key: eye, Frequency: 46, Probe Count: 0
table[5134]: Key: wills, Frequency: 2, Probe Count: 0
table[5148]: Key: unlocking, Frequency: 1, Probe Count: 0
table[5156]: Key: beseem, Frequency: 1, Probe Count: 0
table[5197]: Key: valiant, Frequency: 1, Probe Count: 0
table[5232]: Key: pitiful, Frequency: 1, Probe Count: 0
table[5246]: Key: weak, Frequency: 5, Probe Count: 0
table[5253]: Key: wear, Frequency: 5, Probe Count: 0
table[5263]: Key: porridge, Frequency: 1, Probe Count: 0
table[5311]: Key: repeat, Frequency: 7, Probe Count: 0
table[5348]: Key: fan, Frequency: 10, Probe Count: 0
table[5352]: Key: far, Frequency: 31, Probe Count: 0
